u,g,r,i,z,class,z1,zerr
18.97213,18.53676,18.5828,18.34936,18.29215,QSO,0.5228189,0.0001547483
19.24592,17.47646,16.47817,16.04472,15.68851,GALAXY,0.1228459,2.816076E-05
19.43536,17.70268,16.91565,16.58327,16.39128,GALAXY,0,0
19.31626,18.18312,17.39591,16.94549,16.65395,GALAXY,0.1474355,9.310701E-06
19.28828,19.11188,18.88937,18.80013,18.49183,QSO,2.011455,0.0006307968
17.60994,15.90911,15.0209,14.54955,14.19971,GALAXY,0.04619161,1.022329E-05
18.50014,17.42286,17.03657,16.76236,16.63258,GALAXY,0.0516851,6.667251E-06
19.53253,19.49823,19.42254,19.07912,18.90426,QSO,1.88844,0.0005242734
19.37014,17.94086,17.154,16.74367,16.42825,GALAXY,0.137445,1.284492E-05
18.94777,16.99748,16.10991,15.71294,15.38205,GALAXY,0.05139576,1.215115E-05
19.01472,18.88192,18.75942,18.55215,18.52826,QSO,1.793492,0.0006000574
19.59867,18.23924,17.41578,16.93299,16.62071,GALAXY,0.1575923,1.0708E-05
19.03534,17.46975,16.59299,16.10146,15.74975,GALAXY,0.1095843,1.564648E-05
19.15191,17.17805,16.31252,15.90646,15.5907,GALAXY,0.05181682,1.686812E-05
19.1529,17.87517,17.48003,17.13778,17.0288,GALAXY,0.07640458,9.303883E-06
19.06028,16.96053,15.95126,15.47845,15.11543,GALAXY,0.04997836,1.872095E-05
18.83669,18.24646,17.73242,17.25826,17.15354,QSO,0.2224606,2.755201E-05
18.46771,16.45326,15.44484,14.99735,14.62061,GALAXY,0.08598141,1.338382E-05
19.09033,19.00174,18.88909,18.7287,18.5708,QSO,2.01408,0.0004352271
19.23528,17.96798,17.30418,16.94234,16.67086,GALAXY,0.04988256,8.922353E-06
18.87633,16.76477,15.67137,15.13509,14.70211,GALAXY,0.05240965,2.133832E-05
19.5599,19.35254,19.28897,18.99586,18.96409,QSO,1.781732,0.0007746859
18.08883,16.13217,15.17689,14.73471,14.39303,GALAXY,0.04767711,1.144395E-05
18.23738,16.78965,16.04829,15.67454,15.39656,GALAXY,0.04829309,9.646815E-06
19.52551,18.07914,17.3061,16.86974,16.54156,GALAXY,0.1330015,1.698382E-05
19.25228,17.73217,17.03618,16.65941,16.41915,GALAXY,0.05104575,1.156286E-05
19.37003,17.77911,17.22996,16.74592,16.53229,GALAXY,0.1021822,7.269895E-06
19.57207,18.48394,17.76017,17.28982,17.07178,QSO,0.08183131,3.700148E-05
18.9502,17.03974,16.01775,15.47905,15.07813,GALAXY,0.08695956,1.524036E-05
18.19462,16.26034,15.32595,14.88686,14.53315,GALAXY,0.05894584,1.038548E-05
17.75344,15.74984,14.8062,14.35169,14.00553,GALAXY,0.05114049,1.197538E-05
18.11602,16.33993,15.46012,14.97571,14.62306,GALAXY,0.05753839,1.441879E-05
18.56535,17.49556,17.07839,16.8051,16.63368,GALAXY,0.0335348,5.874495E-06
19.19812,17.27151,16.23584,15.77029,15.41235,GALAXY,0.1134132,1.754E-05
17.86365,15.89275,14.9495,14.47696,14.07925,GALAXY,0.03570095,1.295316E-05
19.57276,18.35225,17.79671,17.47015,17.30343,GALAXY,0.1263591,8.860041E-06
18.47956,16.97498,16.2303,15.80467,15.51637,GALAXY,0.07914868,8.792825E-06
18.75835,18.57446,18.38512,18.23563,18.22468,QSO,1.425605,0.0002995534
19.32298,17.94489,17.33679,16.96554,16.77077,GALAXY,0.1066193,8.7924E-06
18.70773,17.27558,16.1338,15.63603,15.24181,GALAXY,0.1630185,1.930046E-05
19.38434,19.28643,19.07731,19.05835,18.99653,QSO,1.418108,0.0004592716
19.24358,17.73024,16.90927,16.45415,16.16687,GALAXY,0.1086055,1.199294E-05
18.53811,16.49068,15.54758,15.0839,14.73338,GALAXY,0.05618554,1.268052E-05
18.90679,17.87057,17.55459,17.35928,17.2735,GALAXY,0.0593772,5.933048E-06
19.56964,18.32693,17.74736,17.37769,17.23477,GALAXY,0.08246167,1.16696E-05
19.49216,17.57436,16.71796,16.32507,16.00603,GALAXY,0.04967781,1.353914E-05
18.29876,16.27099,15.30813,14.84722,14.48843,GALAXY,0.05825833,1.081769E-05
17.93501,16.95368,16.59844,16.22787,16.16119,GALAXY,0.08446869,6.895008E-06
19.10671,17.71711,16.99413,16.52681,16.25612,GALAXY,0.1196047,7.028914E-06
18.5946,18.31239,18.14904,17.96045,17.80987,QSO,1.958732,0.0003058421
19.08893,17.14891,16.19713,15.61619,15.20052,GALAXY,0.05490603,2.942077E-05
19.49513,17.6036,16.63668,16.16602,15.81066,GALAXY,0.08810724,1.66854E-05
18.05972,16.89538,16.25269,15.86668,15.6113,GALAXY,0.04703669,1.030209E-05
19.24835,18.12251,17.65414,17.40515,17.23663,GALAXY,0.03147011,6.225501E-06
19.2737,17.83485,16.95716,16.4223,16.08582,GALAXY,0,0
19.45394,18.22501,17.6757,17.33425,17.12407,GALAXY,0.05114415,7.467368E-06
19.36532,17.41616,16.41868,15.96238,15.61185,GALAXY,0.07592582,1.672254E-05
18.30251,17.08222,16.73025,16.56319,16.42294,GALAXY,0.03613809,7.451959E-06
19.5168,17.94829,17.06448,16.62497,16.28414,GALAXY,0.08909952,1.724535E-05
18.14449,16.48496,15.72079,15.31802,15.04815,GALAXY,0.0273324,1.43591E-05
19.46203,18.41793,18.02689,17.76324,17.66656,GALAXY,0.05819118,4.179019E-06
19.3241,18.61351,18.61464,18.56985,18.24085,QSO,2.481537,0.0001485057
19.56676,19.30089,19.06131,18.93375,18.97422,QSO,1.435663,0.0004282418
18.73755,17.8508,17.5754,17.28612,17.19911,GALAXY,0.05661889,7.062927E-06
18.61239,16.65135,15.68725,15.21425,14.88679,GALAXY,0.08161759,1.991106E-05
18.72957,18.41154,18.27666,18.04014,18.05116,QSO,1.63147,0.0003224514
19.45575,17.82735,17.03034,16.61566,16.329,GALAXY,0.1181826,1.907014E-05
19.28053,17.62458,16.80272,16.38957,16.12296,GALAXY,0.09575011,2.871864E-05
18.05426,16.15594,15.29721,14.89131,14.56808,GALAXY,0.03677271,8.873238E-06
18.11351,16.92138,16.46234,16.16046,16.02603,GALAXY,0.05721882,7.233233E-06
18.84547,17.04266,16.17954,15.77201,15.48408,GALAXY,0.06802019,9.944651E-06
